,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,44.5,45.96,44.17,45.92,36976500.0,45.38,45.69,43.84,44.14,28805000.0,44.82,45.79,44.63,45.0,26770500.0,45.83,46.49,44.84,45.12,46603000.0,43.8,44.68,43.6,44.34,25897500.0,0
19,68.79,69.84,68.4,69.02,49933500.0,66.9,67.49,66.5,67.43,30346000.0,65.83,68.3,65.6,67.11,72336500.0,63.6,65.34,62.9,65.32,39704500.0,63.92,64.7,63.22,63.44,34717000.0,0
20,67.05,67.1,65.42,65.78,39737000.0,68.86,68.91,66.89,67.27,61697500.0,68.03,68.2,66.0,66.61,84353000.0,70.9,72.17,70.8,70.97,30550000.0,72.0,72.24,69.91,70.44,33625500.0,0
21,44.82,45.79,44.63,45.0,26770500.0,45.83,46.49,44.84,45.12,46603000.0,43.8,44.68,43.6,44.34,25897500.0,42.74,43.45,42.46,43.12,16127500.0,43.15,43.76,42.41,42.82,27081000.0,0
22,43.15,43.76,42.41,42.82,27081000.0,42.72,43.0,42.31,43.0,25259500.0,43.99,44.23,42.2,42.28,42693000.0,44.56,45.08,43.64,44.43,32795000.0,44.4,44.64,43.52,44.17,38971500.0,0
23,42.74,43.45,42.46,43.12,16127500.0,43.15,43.76,42.41,42.82,27081000.0,42.72,43.0,42.31,43.0,25259500.0,43.99,44.23,42.2,42.28,42693000.0,44.56,45.08,43.64,44.43,32795000.0,0
24,51.48,52.42,51.38,51.95,33420500.0,51.54,52.0,50.82,51.58,32164000.0,49.58,51.71,49.43,51.39,51025000.0,49.43,50.22,49.36,49.58,42377000.0,49.06,49.86,48.32,48.95,31416500.0,1
25,65.51,68.17,64.52,65.54,94351500.0,59.54,66.0,59.22,65.63,150030500.0,59.67,60.99,57.84,59.94,148604500.0,50.9,51.23,50.27,50.94,26305500.0,50.86,51.67,50.17,51.12,23004000.0,0
26,44.17,44.31,42.31,43.13,40798000.0,46.24,46.3,43.34,43.92,47813000.0,45.76,47.2,45.51,47.0,24240500.0,46.6,47.15,45.75,45.8,23319500.0,47.21,47.79,46.76,47.0,19491000.0,0
27,63.92,64.7,63.22,63.44,34717000.0,62.96,64.39,61.85,63.49,43935000.0,63.26,63.3,61.96,62.66,31919500.0,62.62,63.8,62.6,62.98,25335000.0,62.6,63.76,61.99,63.0,48209000.0,0
